#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:hanta_S_aligned" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:hanta_S_aligned" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:hanta_S_aligned" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:hanta_S_aligned" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:hanta_S_aligned" spec="beast.base.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.hanta_S_aligned" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="FrequenciesPrior.s:hanta_S_aligned" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:hanta_S_aligned" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="4" estimate="false" id="RealParameter.7" name="alpha" spec="beast.base.inference.parameter.RealParameter">4.0 4.0 4.0 4.0</parameter>
#            </distr>
#        </prior>
#        <prior id="KappaPrior.s:hanta_S_aligned" name="distribution">
#            <parameter id="kappa.s:hanta_S_aligned" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:hanta_S_aligned" name="distribution" x="@popSize.t:hanta_S_aligned">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@hanta_S_aligned" id="treeLikelihood.hanta_S_aligned" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:hanta_S_aligned">
#            <siteModel id="SiteModel.s:hanta_S_aligned" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:hanta_S_aligned" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:hanta_S_aligned" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:hanta_S_aligned" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:hanta_S_aligned" kappa="@kappa.s:hanta_S_aligned" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:hanta_S_aligned" id="estimatedFreqs.s:hanta_S_aligned" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:hanta_S_aligned" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:hanta_S_aligned" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">0.001</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	popSize	CoalescentConstant
33000	-86083.56810531048	-85435.54052879667	-648.027576513801	-85435.54052879667	783.006053077708	14175.858506646071	1.7897566750053788	0.34660661369988016	0.17407096726072535	0.17393393607509686	0.30538848296429755	3948.9180055121906	-641.4692389367759
34000	-86091.81187655234	-85444.45809012864	-647.3537864237038	-85444.45809012864	736.4630750578401	14032.883905024055	1.7897566750053788	0.34660661369988016	0.17407096726072535	0.17393393607509686	0.30538848296429755	3925.025127226862	-640.8015177123577
35000	-86085.87259315744	-85437.40893933442	-648.4636538230309	-85437.40893933442	755.1379618063886	14184.75954565334	1.7897566750053788	0.34660661369988016	0.17407096726072535	0.17393393607509686	0.30538848296429755	3590.668574764295	-642.000419447054
36000	-86075.6331227091	-85425.64110800723	-649.9920147018704	-85425.64110800723	774.8849037715466	14370.881582456908	1.7897566750053788	0.34660661369988016	0.17407096726072535	0.17393393607509686	0.30538848296429755	4641.943791716342	-643.2719855444356
37000	-86077.87291867602	-85429.46538444949	-648.4075342265264	-85429.46538444949	751.2752142199041	14182.472545569315	1.7897566750053788	0.34660661369988016	0.17407096726072535	0.17393393607509686	0.30538848296429755	3697.563559548957	-641.9149641629092
38000	-86005.53617947765	-85355.95428645665	-649.5818930210013	-85355.95428645665	777.6077501370476	14270.52399443917	2.0427119993817957	0.34660661369988016	0.17407096726072535	0.17393393607509686	0.30538848296429755	4840.775625274903	-642.717490009416
39000	-86009.12739306487	-85359.57654581033	-649.5508472545549	-85359.57654581033	828.3156710378377	14510.550277267377	2.0427119993817957	0.34660661369988016	0.17407096726072535	0.17393393607509686	0.30538848296429755	4396.55252247125	-642.7826984878212
40000	-85989.76924476684	-85340.731483855	-649.0377609118436	-85340.731483855	785.7089231060372	14346.967025007958	2.0427119993817957	0.33672838641711994	0.17407096726072535	0.18381216335785708	0.30538848296429755	4060.0088290122562	-642.4282227343201
41000	-86014.32103238002	-85363.4819212622	-650.8391111178207	-85363.4819212622	768.2499186005955	14384.75817357949	2.0427119993817957	0.33672838641711994	0.17407096726072535	0.18381216335785708	0.30538848296429755	4755.735541383297	-644.0714067165195
42000	-86002.99416524333	-85353.16365520467	-649.8305100386599	-85353.16365520467	798.5408500451822	14444.603459410317	2.0427119993817957	0.3272679607777601	0.17407096726072535	0.1932725889972169	0.30538848296429755	4044.1839140808383	-643.2899467590514
43000	-86006.07104662678	-85357.53363943742	-648.5374071893566	-85357.53363943742	853.6670068473662	14482.820993453472	2.0427119993817957	0.3272679607777601	0.17407096726072535	0.18938026043656384	0.3092808115249506	3834.1198877887696	-642.0271447995049
44000	-86000.56469953428	-85351.84361069785	-648.7210888364333	-85351.84361069785	830.481101379537	14419.294985075734	2.0427119993817957	0.3272679607777601	0.17407096726072535	0.18938026043656384	0.3092808115249506	4218.211748506475	-642.1153550783935
45000	-85986.25792615715	-85336.71311626541	-649.544809891747	-85336.71311626541	845.1497044546966	14555.09149089887	2.0427119993817957	0.3272679607777601	0.17407096726072535	0.18938026043656384	0.3092808115249506	4294.029564662085	-642.9212618311242
46000	-85985.12915796977	-85335.79135150289	-649.3378064668835	-85335.79135150289	812.0009317566863	14536.438570144148	2.0427119993817957	0.3272679607777601	0.17407096726072535	0.18938026043656384	0.3092808115249506	3715.3198110245644	-642.8590192299259
47000	-85997.80027449959	-85349.9755188315	-647.8247556680805	-85349.9755188315	838.8471682453448	14381.858950740814	2.0427119993817957	0.3272679607777601	0.17407096726072535	0.18938026043656384	0.3092808115249506	3774.756087696252	-641.3300974239177
48000	-85988.67475452923	-85338.78107292605	-649.8936816031769	-85338.78107292605	785.6543051181098	14499.194772022127	2.0427119993817957	0.3272679607777601	0.17407096726072535	0.18938026043656384	0.3092808115249506	4213.274910874545	-643.2891188932323
49000	-86002.11472439615	-85353.15355297294	-648.961171423202	-85353.15355297294	744.3945847813735	14217.012741604261	2.0427119993817957	0.3272679607777601	0.17407096726072535	0.18938026043656384	0.3092808115249506	4332.1593762375705	-642.3287828282081
50000	-85995.25541603527	-85344.61261883225	-650.6427972030149	-85344.61261883225	862.9449981844184	14446.242978748473	2.0427119993817957	0.3272679607777601	0.17407096726072535	0.18938026043656384	0.3092808115249506	3067.0188867976653	-644.3557686837527
51000	-85916.8792092176	-85268.96739102509	-647.9118181925094	-85268.96739102509	855.5988366288123	14497.87736582644	2.0427119993817957	0.3272679607777601	0.17407096726072535	0.18938026043656384	0.3092808115249506	3596.3412750527987	-641.4655787002483
52000	-85919.84496640088	-85271.29292125526	-648.552045145621	-85271.29292125526	842.5945531585332	14441.700974032887	2.0427119993817957	0.3272679607777601	0.17407096726072535	0.18938026043656384	0.3092808115249506	4536.931482937449	-641.8734717708163
53000	-85926.48727462726	-85278.69135385036	-647.7959207769012	-85278.69135385036	774.2598568762987	14306.315622612892	2.0427119993817957	0.3272679607777601	0.17407096726072535	0.18938026043656384	0.3092808115249506	3499.0913558694742	-641.3770949786397
54000	-85909.11802931203	-85262.10126796758	-647.016761344447	-85262.10126796758	850.4977643059713	14420.824361595769	2.0427119993817957	0.3272679607777601	0.17407096726072535	0.18938026043656384	0.3092808115249506	3747.4011665197363	-640.529376290897
55000	-85891.77683332491	-85244.62838336211	-647.1484499627938	-85244.62838336211	786.1101940854826	14173.736733798549	2.0427119993817957	0.3272679607777601	0.18490874956382117	0.18938026043656384	0.2984430292218548	3624.5796584475406	-640.7685755682429
56000	-85894.34479433806	-85245.19590432945	-649.1488900086106	-85245.19590432945	813.135426227459	14486.804629143839	2.0427119993817957	0.3272679607777601	0.18490874956382117	0.18938026043656384	0.2984430292218548	4724.913915986911	-642.5039045974115
57000	-85900.03541550484	-85252.17131741018	-647.8640980946653	-85252.17131741018	847.9856474999705	14437.284669781659	2.0427119993817957	0.3272679607777601	0.18490874956382117	0.18938026043656384	0.2984430292218548	4483.749989221344	-641.2715022779469
58000	-85879.24321474163	-85231.61381231458	-647.6294024270509	-85231.61381231458	803.7875933123577	14261.876705958011	2.0427119993817957	0.3272679607777601	0.18490874956382117	0.18938026043656384	0.2984430292218548	3924.6837943499677	-641.1699805717528
59000	-85886.06997115645	-85237.77189943133	-648.2980717251246	-85237.77189943133	798.7658120985454	14299.554550831535	2.0427119993817957	0.3272679607777601	0.19427539143719652	0.18001361856318848	0.2984430292218548	4490.518778767191	-641.7000367932033
60000	-85892.44580764553	-85243.50014071104	-648.9456669344889	-85243.50014071104	845.8190121949499	14493.740880780782	2.0427119993817957	0.3272679607777601	0.19427539143719652	0.18001361856318848	0.2984430292218548	4572.856043577225	-642.3294622740415
61000	-85902.23528010854	-85255.49559392959	-646.739686178947	-85255.49559392959	837.9402671775438	14204.941756018061	2.0427119993817957	0.3272679607777601	0.19427539143719652	0.18001361856318848	0.2984430292218548	3598.4427801377774	-640.3631182922259
62000	-85885.01800495404	-85235.4500884412	-649.5679165128319	-85235.4500884412	816.4211899701365	14424.649190103974	2.0427119993817957	0.3272679607777601	0.19427539143719652	0.18001361856318848	0.2984430292218548	4801.594481620776	-642.9029017704944
63000	-85892.18736242797	-85243.31062130908	-648.8767411188946	-85243.31062130908	819.45629411405	14388.948336187244	2.0427119993817957	0.3272679607777601	0.19427539143719652	0.18001361856318848	0.2984430292218548	3322.3512604743673	-642.5800016797297
64000	-85893.2321395885	-85244.38151207533	-648.8506275131615	-85244.38151207533	771.4849781125511	14380.715123114293	2.0427119993817957	0.3272679607777601	0.19427539143719652	0.18001361856318848	0.2984430292218548	4411.610186584138	-642.2703210727557
65000	-85885.47935392955	-85238.27681107761	-647.2025428519368	-85238.27681107761	785.7461819219975	14110.901612041058	2.0427119993817957	0.3272679607777601	0.19427539143719652	0.18001361856318848	0.2984430292218548	3892.798797064894	-640.7473477719917
66000	-85874.26779428072	-85226.17102958434	-648.0967646963852	-85226.17102958434	830.1821914980831	14412.653427587022	2.269866637551035	0.3272679607777601	0.19427539143719652	0.18001361856318848	0.2984430292218548	3474.290331526323	-641.6655886616844
67000	-85880.00427908005	-85231.2398444508	-648.7644346292459	-85231.2398444508	748.5832511420997	14454.109709643164	2.269866637551035	0.3272679607777601	0.19427539143719652	0.18001361856318848	0.2984430292218548	3932.8817217694495	-642.20927641185
68000	-85877.90064465973	-85230.10820751163	-647.7924371481081	-85230.10820751163	826.6657064392105	14470.641971765326	2.269866637551035	0.3272679607777601	0.19427539143719652	0.18001361856318848	0.2984430292218548	4109.735579860692	-641.1932926597864
69000	-85882.13233660934	-85232.45370407791	-649.6786325314253	-85232.45370407791	826.8878634663397	14461.880556808055	2.269866637551035	0.3272679607777601	0.19427539143719652	0.18001361856318848	0.2984430292218548	3174.312334314941	-643.3377557124729
70000	-85877.10356166365	-85228.95655746541	-648.1470041982345	-85228.95655746541	787.3773079076774	14401.852810409317	2.269866637551035	0.3272679607777601	0.19427539143719652	0.18001361856318848	0.2984430292218548	3832.291574131674	-641.6177554540543
71000	-85881.62251342525	-85232.32986471486	-649.2926487103774	-85232.32986471486	811.0672600926534	14529.410107057036	2.269866637551035	0.3272679607777601	0.19427539143719652	0.18001361856318848	0.2984430292218548	3663.786485720985	-642.8083657411278
