virus;virus_clean;matched_virus;taxonomic_level;family_clean;ncbi_id;family;subfamily;genus;ncbi_species
Sin Nombre Orthohantavirus;Orthohantavirus sinnombreense;Orthohantavirus sinnombreense;species;Hantaviridae;3052499;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense
Sin Nombre Virus;Orthohantavirus sinnombreense;Orthohantavirus sinnombreense;species;Hantaviridae;3052499;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense
Sin Nombre hantavirus;Orthohantavirus sinnombreense;Orthohantavirus sinnombreense;species;Hantaviridae;3052499;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense
Sin Nombre orthohantavirus;Orthohantavirus sinnombreense;Orthohantavirus sinnombreense;species;Hantaviridae;3052499;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense
Sin Nombre virus;Orthohantavirus sinnombreense;Orthohantavirus sinnombreense;species;Hantaviridae;3052499;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense
Songea mammarenavirus;Songea mammarenavirus;Songea mammarenavirus;species;Arenaviridae;3030864;Arenaviridae;NA;Mammarenavirus;Songea mammarenavirus
Sweetwater Canyon Virus;Orthohantavirus sinnombreense;Orthohantavirus sinnombreense;species;Hantaviridae;3052499;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense
THAIV;Orthohantavirus thailandense;Orthohantavirus thailandense;species;Hantaviridae;3052501;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus thailandense
THAIV (Thailand Virus);Orthohantavirus thailandense;Orthohantavirus thailandense;species;Hantaviridae;3052501;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus thailandense
TULV;Orthohantavirus tulaense;Orthohantavirus tulaense;species;Hantaviridae;3052503;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus tulaense
Tacaribe Serocomplex virus;Mammarenavirus tacaribeense;Mammarenavirus tacaribeense;species;Arenaviridae;3052328;Arenaviridae;NA;Mammarenavirus;Mammarenavirus tacaribeense
Tacaribe Virus;Mammarenavirus tacaribeense;Mammarenavirus tacaribeense;species;Arenaviridae;3052328;Arenaviridae;NA;Mammarenavirus;Mammarenavirus tacaribeense
Tamiami;Mammarenavirus tamiamiense;Mammarenavirus tamiamiense;species;Arenaviridae;3052329;Arenaviridae;NA;Mammarenavirus;Mammarenavirus tamiamiense
Tamiami virus;Mammarenavirus tamiamiense;Mammarenavirus tamiamiense;species;Arenaviridae;3052329;Arenaviridae;NA;Mammarenavirus;Mammarenavirus tamiamiense
Tamiami/Pichinde;Mammarenavirus;Mammarenavirus tamiamiense;genus;Arenaviridae;3052329;Arenaviridae;NA;Mammarenavirus;Mammarenavirus tamiamiense
Tamiami/Pichinde;Mammarenavirus;Mammarenavirus caliense;genus;Arenaviridae;3052300;Arenaviridae;NA;Mammarenavirus;Mammarenavirus caliense
Tazar Virus;Orthohantavirus dobravaense;Orthohantavirus dobravaense;species;Hantaviridae;3052477;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus dobravaense
Tchoupitoulas virus;Orthohantavirus seoulense;Orthohantavirus seoulense;species;Hantaviridae;3052498;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense
Thailand hantavirus;Orthohantavirus thailandense;Orthohantavirus thailandense;species;Hantaviridae;3052501;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus thailandense
Thailand orthohantavirus;Orthohantavirus thailandense;Orthohantavirus thailandense;species;Hantaviridae;3052501;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus thailandense
Thailand orthohantavirus (MDG3887MG9);Orthohantavirus thailandense;Orthohantavirus thailandense;species;Hantaviridae;3052501;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus thailandense
Thailand orthohantavirus Anjo strain;Orthohantavirus thailandense;Orthohantavirus thailandense;species;Hantaviridae;3052501;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus thailandense
Thottapalayam Virus;Thottimvirus thottapalayamense;Thottimvirus thottapalayamense;species;Hantaviridae;3052789;Hantaviridae;Mammantavirinae;Thottimvirus;Thottimvirus thottapalayamense
Thottapalayam virus;Thottimvirus thottapalayamense;Thottimvirus thottapalayamense;species;Hantaviridae;3052789;Hantaviridae;Mammantavirinae;Thottimvirus;Thottimvirus thottapalayamense
Tigray Orthohantavirus;Orthohantavirus tigrayense;Orthohantavirus tigrayense;species;Hantaviridae;3052502;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus tigrayense
Topografov Virus;Orthohantavirus khabarovskense;Orthohantavirus khabarovskense;species;Hantaviridae;3052483;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus khabarovskense
Tula Virus;Orthohantavirus tulaense;Orthohantavirus tulaense;species;Hantaviridae;3052503;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus tulaense
Tula Virus Antigen;Orthohantavirus tulaense;Orthohantavirus tulaense;species;Hantaviridae;3052503;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus tulaense
Tula orthohantavirus;Orthohantavirus tulaense;Orthohantavirus tulaense;species;Hantaviridae;3052503;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus tulaense
Tula orthohantavirus (Moravia strain);Orthohantavirus tulaense;Orthohantavirus tulaense;species;Hantaviridae;3052503;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus tulaense
Tula orthohantavirus (Thuringia strain);Orthohantavirus tulaense;Orthohantavirus tulaense;species;Hantaviridae;3052503;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus tulaense
Tula virus;Orthohantavirus tulaense;Orthohantavirus tulaense;species;Hantaviridae;3052503;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus tulaense
Tunari Virus;Orthohantavirus andesense;Orthohantavirus andesense;species;Hantaviridae;1980456;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus andesense
Vladivostock virus;Orthohantavirus khabarovskense;Orthohantavirus khabarovskense;species;Hantaviridae;3052483;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus khabarovskense
WENV;Mammarenavirus wenzhouense;Mammarenavirus wenzhouense;species;Arenaviridae;3052330;Arenaviridae;NA;Mammarenavirus;Mammarenavirus wenzhouense
WWA and AMA;Mammarenavirus;Mammarenavirus whitewaterense;genus;Arenaviridae;3052331;Arenaviridae;NA;Mammarenavirus;Mammarenavirus whitewaterense
WWA and AMA;Mammarenavirus;Mammarenavirus amapariense;genus;Arenaviridae;3052296;Arenaviridae;NA;Mammarenavirus;Mammarenavirus amapariense
WWAV;Mammarenavirus whitewaterense;Mammarenavirus whitewaterense;species;Arenaviridae;3052331;Arenaviridae;NA;Mammarenavirus;Mammarenavirus whitewaterense
WWAV/AMAV;Mammarenavirus;Mammarenavirus whitewaterense;genus;Arenaviridae;3052331;Arenaviridae;NA;Mammarenavirus;Mammarenavirus whitewaterense
WWAV/AMAV;Mammarenavirus;Mammarenavirus amapariense;genus;Arenaviridae;3052296;Arenaviridae;NA;Mammarenavirus;Mammarenavirus amapariense
Wenzhou Virus;Mammarenavirus wenzhouense;Mammarenavirus wenzhouense;species;Arenaviridae;3052330;Arenaviridae;NA;Mammarenavirus;Mammarenavirus wenzhouense
Wenzhou virus;Mammarenavirus wenzhouense;Mammarenavirus wenzhouense;species;Arenaviridae;3052330;Arenaviridae;NA;Mammarenavirus;Mammarenavirus wenzhouense
Whitewater Arroyo Virus;Mammarenavirus whitewaterense;Mammarenavirus whitewaterense;species;Arenaviridae;3052331;Arenaviridae;NA;Mammarenavirus;Mammarenavirus whitewaterense
Whitewater Arroyo Virus/Amapari Virus;Mammarenavirus;Mammarenavirus whitewaterense;genus;Arenaviridae;3052331;Arenaviridae;NA;Mammarenavirus;Mammarenavirus whitewaterense
Whitewater Arroyo Virus/Amapari Virus;Mammarenavirus;Mammarenavirus amapariense;genus;Arenaviridae;3052296;Arenaviridae;NA;Mammarenavirus;Mammarenavirus amapariense
Whitewater Arroyo mammarenavirus;Mammarenavirus whitewaterense;Mammarenavirus whitewaterense;species;Arenaviridae;3052331;Arenaviridae;NA;Mammarenavirus;Mammarenavirus whitewaterense
Whitewater Arroyo virus;Mammarenavirus whitewaterense;Mammarenavirus whitewaterense;species;Arenaviridae;3052331;Arenaviridae;NA;Mammarenavirus;Mammarenavirus whitewaterense
Whitewater arroyo Virus (WWA);Mammarenavirus whitewaterense;Mammarenavirus whitewaterense;species;Arenaviridae;3052331;Arenaviridae;NA;Mammarenavirus;Mammarenavirus whitewaterense
Xapuri virus;Mammarenavirus xapuriense;Mammarenavirus xapuriense;species;Arenaviridae;3052332;Arenaviridae;NA;Mammarenavirus;Mammarenavirus xapuriense
