virus;virus_clean;matched_virus;taxonomic_level;family_clean;ncbi_id;family;subfamily;genus;ncbi_species
HTNV/SEOV/Eothenomys miletus hantavirus LX320;Orthohantavirus;Orthohantavirus luxiense;genus;Hantaviridae;3052484;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus luxiense
HTNV/SEOV/PUUV;Orthohantavirus;Orthohantavirus hantanense;genus;Hantaviridae;3052480;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus hantanense
HTNV/SEOV/PUUV;Orthohantavirus;Orthohantavirus seoulense;genus;Hantaviridae;3052498;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense
HTNV/SEOV/PUUV;Orthohantavirus;Orthohantavirus puumalaense;genus;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Hainan Medical University Virus;Mammarenavirus wenzhouense;Mammarenavirus wenzhouense;species;Arenaviridae;3052330;Arenaviridae;NA;Mammarenavirus;Mammarenavirus wenzhouense
Hantaan;Orthohantavirus hantanense;Orthohantavirus hantanense;species;Hantaviridae;3052480;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus hantanense
Hantaan Virus;Orthohantavirus hantanense;Orthohantavirus hantanense;species;Hantaviridae;3052480;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus hantanense
Hantaan orthohantavirus;Orthohantavirus hantanense;Orthohantavirus hantanense;species;Hantaviridae;3052480;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus hantanense
Hantaan orthohantavirus (VN3973M589);Orthohantavirus hantanense;Orthohantavirus hantanense;species;Hantaviridae;3052480;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus hantanense
Hantaan orthohantavirus (VN4004M620);Orthohantavirus hantanense;Orthohantavirus hantanense;species;Hantaviridae;3052480;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus hantanense
Hantaan orthohantavirus Da Bie Shan strain;Orthohantavirus hantanense;Orthohantavirus hantanense;species;Hantaviridae;3052480;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus hantanense
Hantaan virus;Orthohantavirus hantanense;Orthohantavirus hantanense;species;Hantaviridae;3052480;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus hantanense
Hokkaido Virus;Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Imjin virus;Thottimvirus imjinense;Thottimvirus imjinense;species;Hantaviridae;3052788;Hantaviridae;Mammantavirinae;Thottimvirus;Thottimvirus imjinense
Isla Vista Virus;Isla Vista hantavirus;Isla Vista hantavirus;species;Hantaviridae;42097;Hantaviridae;Mammantavirinae;Orthohantavirus;Isla Vista hantavirus
Isla Vista virus;Isla Vista hantavirus;Isla Vista hantavirus;species;Hantaviridae;42097;Hantaviridae;Mammantavirinae;Orthohantavirus;Isla Vista hantavirus
Itapua Strain SNV;Itapua hantavirus;Itapua hantavirus;species;Hantaviridae;261204;Hantaviridae;Mammantavirinae;Orthohantavirus;Itapua hantavirus
Itapua Strain SNV;Itapua hantavirus;Orthohantavirus sinnombreense;species;Hantaviridae;3052499;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense
JABV;Jabora virus;Jabora virus;species;Hantaviridae;436077;Hantaviridae;Mammantavirinae;Orthohantavirus;Jabora virus
JMSV/AARV;Orthohantavirus;Jemez Springs virus;genus;Hantaviridae;466215;Hantaviridae;Mammantavirinae;Orthohantavirus;Jemez Springs virus
JMSV/AARV;Orthohantavirus;Ash River virus;genus;Hantaviridae;466216;Hantaviridae;Mammantavirinae;Orthohantavirus;Ash River virus
JUNV;Mammarenavirus juninense;Mammarenavirus juninense;species;Arenaviridae;2169991;Arenaviridae;NA;Mammarenavirus;Mammarenavirus juninense
JUQV;Juquitiba virus;Juquitiba virus;species;Hantaviridae;430511;Hantaviridae;Mammantavirinae;Orthohantavirus;Juquitiba virus
