taxid	name_txt	name_class	name_norm	sci_name	rank	lineage_taxids	lineage_names	lineage_ranks
3052329	Tamiami mammarenavirus	synonym	tamiami mammarenavirus	Mammarenavirus tamiamiense	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052329	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus tamiamiense	;;;;;;;;family;;species
2169991	Junin arenavirus	synonym	junin arenavirus	Mammarenavirus juninense	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;2169991	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus juninense	;;;;;;;;family;;species
300180	Mopeia reassortant ML29	synonym	mopeia reassortant ml29	Mopeia Lassa virus reassortant 29	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;208898;11618;208896;483045;300180	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;unclassified Arenaviridae;Arenavirus;Old world arenaviruses;unclassified Old world arenaviruses;Mopeia Lassa virus reassortant 29	;;;;;;;;family;;;;;species
3052324	Pirital mammarenavirus	synonym	pirital mammarenavirus	Mammarenavirus piritalense	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052324	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus piritalense	;;;;;;;;family;;species
928313	Tacaribe virus (strain Franze-Fernandez)	synonym	tacaribe virus (strain franze-fernandez)	Tacaribe virus strain Franze-Fernandez	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052328;928313	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus tacaribeense;Tacaribe virus strain Franze-Fernandez	;;;;;;;;family;;;no rank
11621	Lassa virus (STRAIN GA391)	synonym	lassa virus (strain ga391)	Lassa virus GA391	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;2022411;3052310;11621	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;unclassified Mammarenavirus;Mammarenavirus lassaense;Lassa virus GA391	;;;;;;;;family;;;;no rank
3052304	Cupixi mammarenavirus	synonym	cupixi mammarenavirus	Mammarenavirus cupixiense	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052304	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus cupixiense	;;;;;;;;family;;species
2800209	BaTang virus	synonym	batang virus	plateau pika virus	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3430643;2800209	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus batangense;plateau pika virus	;;;;;;;;family;;;no rank
3052318	Mariental virus	synonym	mariental virus	Mammarenavirus marientalense	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052318	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus marientalense	;;;;;;;;family;;species
2907957	Sabi mammarenavirus	synonym	sabi mammarenavirus	Sabia virus	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052299;2907957	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus brazilense;Sabia virus	;;;;;;;;family;;;no rank
