taxid	name_txt	name_class	name_norm	sci_name	rank	lineage_taxids	lineage_names	lineage_ranks
993456	Seoul virus 58CSG	scientific name	seoul virus 58csg	Seoul virus 58CSG	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;993456	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus 58CSG	;;;;;;;;family;;;;no rank
993457	Seoul virus 60CSG	scientific name	seoul virus 60csg	Seoul virus 60CSG	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;993457	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus 60CSG	;;;;;;;;family;;;;no rank
993458	Seoul virus 14D12	scientific name	seoul virus 14d12	Seoul virus 14D12	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;993458	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus 14D12	;;;;;;;;family;;;;no rank
993459	Seoul virus 19D12	scientific name	seoul virus 19d12	Seoul virus 19D12	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;993459	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus 19D12	;;;;;;;;family;;;;no rank
993460	Seoul virus 24D12	scientific name	seoul virus 24d12	Seoul virus 24D12	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;993460	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus 24D12	;;;;;;;;family;;;;no rank
993461	Seoul virus 5CSG	scientific name	seoul virus 5csg	Seoul virus 5CSG	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;993461	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus 5CSG	;;;;;;;;family;;;;no rank
993462	Seoul virus 11CSG	scientific name	seoul virus 11csg	Seoul virus 11CSG	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;993462	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus 11CSG	;;;;;;;;family;;;;no rank
993463	Seoul virus 25CSG	scientific name	seoul virus 25csg	Seoul virus 25CSG	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;993463	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus 25CSG	;;;;;;;;family;;;;no rank
993464	Seoul virus 41CSG	scientific name	seoul virus 41csg	Seoul virus 41CSG	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;993464	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus 41CSG	;;;;;;;;family;;;;no rank
993465	Seoul virus HP7	scientific name	seoul virus hp7	Seoul virus HP7	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;993465	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus HP7	;;;;;;;;family;;;;no rank
993466	Seoul virus HP8	scientific name	seoul virus hp8	Seoul virus HP8	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;993466	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus HP8	;;;;;;;;family;;;;no rank
1285463	Gou virus	scientific name	gou virus	Gou virus	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;1285463	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Gou virus	;;;;;;;;family;;;;no rank
31621	Four Corners hantavirus	scientific name	four corners hantavirus	Four Corners hantavirus	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052499;31621	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense;Four Corners hantavirus	;;;;;;;;family;;;;no rank
32614	Convict Creek 107 virus	scientific name	convict creek 107 virus	Convict Creek 107 virus	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052499;32614	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense;Convict Creek 107 virus	;;;;;;;;family;;;;no rank
44755	New York virus	scientific name	new york virus	New York virus	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052499;44755	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense;New York virus	;;;;;;;;family;;;;no rank
69294	Blue River virus	scientific name	blue river virus	Blue River virus	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052499;69294	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense;Blue River virus	;;;;;;;;family;;;;no rank
1313091	Tatenale virus	scientific name	tatenale virus	Tatenale virus	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052500;1313091	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus tatenalense;Tatenale virus	;;;;;;;;family;;;;no rank
401485	Thailand virus (Nakhon Ratchasima/Bi0017/2004)	scientific name	thailand virus (nakhon ratchasima/bi0017/2004)	Thailand virus (Nakhon Ratchasima/Bi0017/2004)	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052501;401485	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus thailandense;Thailand virus (Nakhon Ratchasima/Bi0017/2004)	;;;;;;;;family;;;;no rank
401486	Thailand virus (Nakhon Pathom/Bi0016/2004)	scientific name	thailand virus (nakhon pathom/bi0016/2004)	Thailand virus (Nakhon Pathom/Bi0016/2004)	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052501;401486	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus thailandense;Thailand virus (Nakhon Pathom/Bi0016/2004)	;;;;;;;;family;;;;no rank
401487	Thailand virus (Nakhon Ratchasima/Bi0024/2004)	scientific name	thailand virus (nakhon ratchasima/bi0024/2004)	Thailand virus (Nakhon Ratchasima/Bi0024/2004)	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052501;401487	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus thailandense;Thailand virus (Nakhon Ratchasima/Bi0024/2004)	;;;;;;;;family;;;;no rank
401488	Thailand virus (Nakhon Pathom/Bi0067/2004)	scientific name	thailand virus (nakhon pathom/bi0067/2004)	Thailand virus (Nakhon Pathom/Bi0067/2004)	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052501;401488	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus thailandense;Thailand virus (Nakhon Pathom/Bi0067/2004)	;;;;;;;;family;;;;no rank
528322	Serang virus	scientific name	serang virus	Serang virus	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052501;528322	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus thailandense;Serang virus	;;;;;;;;family;;;;no rank
1424613	Anjozorobe virus	scientific name	anjozorobe virus	Anjozorobe virus	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052501;1424613	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus thailandense;Anjozorobe virus	;;;;;;;;family;;;;no rank
1268011	Tigray virus	scientific name	tigray virus	Tigray virus	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052502;1268011	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus tigrayense;Tigray virus	;;;;;;;;family;;;;no rank
96509	Hantavirus Lodz-1	scientific name	hantavirus lodz-1	Hantavirus Lodz-1	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052503;96509	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus tulaense;Hantavirus Lodz-1	;;;;;;;;family;;;;no rank
96510	Hantavirus Lodz-2	scientific name	hantavirus lodz-2	Hantavirus Lodz-2	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052503;96510	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus tulaense;Hantavirus Lodz-2	;;;;;;;;family;;;;no rank
1578833	Adler virus	scientific name	adler virus	Adler virus	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052503;1578833	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus tulaense;Adler virus	;;;;;;;;family;;;;no rank
517360	Artybash virus	scientific name	artybash virus	Artybash virus	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3431292;517360	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus artybashense;Artybash virus	;;;;;;;;family;;;;no rank
