event_date	genus	species	name	lat	lon	MNA	MNI	traps
1995-06-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	27	1	300
1995-07-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	15	1	300
1995-08-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	17	1	300
1995-09-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	12	0	300
1995-10-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	10	1	300
1995-11-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	16	0	300
1995-12-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	16	1	300
1996-01-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	14	0	300
1996-02-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	28	0	300
1996-03-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	18	0	300
1996-04-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	24	0	300
1996-05-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	28	0	300
1996-06-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	29	0	300
1996-07-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	25	0	300
1996-08-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	37	0	300
1996-09-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	37	0	300
1996-10-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	23	0	300
1996-11-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	9	0	300
1996-12-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	9	0	300
1997-01-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	11	0	300
1997-02-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	11	0	300
1997-03-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	28	4	300
1997-04-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	20	4	300
1997-05-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	24	7	300
1997-06-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	23	4	300
1997-07-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	18	2	300
1997-08-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	20	2	300
1997-09-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	17	2	300
1997-10-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	24	3	300
1997-11-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	21	2	300
1997-12-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	36	2	300
1998-01-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	38	1	300
1998-02-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	29	0	300
1998-03-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	22	1	300
1998-04-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	34	1	300
1998-05-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	36	3	300
1998-06-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	35	1	300
1998-07-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	29	2	300
1998-08-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	30	1	300
1998-09-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	27	1	300
1998-10-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	29	1	300
1998-11-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	20	0	300
1998-12-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	11	0	300
1999-01-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	11	0	300
1999-02-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	23	0	300
1999-03-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	15	0	300
1999-04-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	18	0	300
1999-05-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	23	2	300
1999-06-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	16	2	300
1999-07-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	18	1	300
1999-08-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	17	0	300
1999-09-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	18	0	300
1999-10-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	12	0	300
1999-11-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	13	0	300
1999-12-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	16	0	300
2000-01-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	10	0	300
2000-02-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	10	0	300
2000-03-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	12	0	300
2000-04-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	8	0	300
2000-05-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	14	1	300
2000-06-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	12	0	300
2000-07-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	19	0	300
2000-08-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	14	0	300
2000-09-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	21	0	300
2000-10-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	18	0	300
2000-11-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	6	0	300
2000-12-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	6	0	300
2001-01-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	5	0	300
2001-02-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	3	0	300
2001-03-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	9	0	300
2001-04-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	6	0	300
2001-05-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	9	0	300
2001-06-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	10	0	300
2001-07-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	11	0	300
2001-08-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	13	0	300
2001-09-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	17	0	300
2001-10-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	20	0	300
2001-11-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	11	0	300
2001-12-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	11	0	300
2002-01-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	16	1	300
2002-02-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	23	1	300
2002-03-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	29	1	300
2002-04-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	35	1	300
2002-05-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	38	1	300
2002-06-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	42	1	300
2002-07-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	50	1	300
2002-08-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	73	2	300
2002-09-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	92	2	300
2002-10-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	62	1	300
2002-11-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	79	2	300
2002-12-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	74	3	300
2003-01-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	101	8	300
2003-02-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	87	8	300
2003-03-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	83	10	300
2003-04-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	97	11	300
2003-05-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	70	10	300
2003-06-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	61	12	300
2003-07-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	66	6	300
2003-08-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	57	2	300
2003-09-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	33	2	300
2003-10-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	45	3	300
2003-11-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	16	0	300
2003-12-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	24	0	300
2004-01-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	4	1	300
2004-02-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	9	0	300
2004-03-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	21	1	300
2004-04-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	12	1	300
2004-05-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	12	3	300
2004-06-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	16	2	300
2004-07-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	11	2	300
2004-08-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	7	2	300
2004-09-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	9	1	300
2004-10-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	10	1	300
2004-11-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	9	1	300
2004-12-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	8	1	300
2005-01-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	10	1	300
2005-02-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	12	2	300
2005-03-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	29	1	300
2005-04-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	21	3	300
2005-05-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	22	3	300
2005-06-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	27	3	300
2005-07-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	15	1	300
2005-08-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	31	1	300
2005-09-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	24	1	300
2005-10-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	26	0	300
2005-12-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	35	0	300
2006-01-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	42	0	300
2006-02-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	37	0	300
2006-03-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	42	1	300
2006-04-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	24	1	300
2006-05-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	23	1	300
2006-06-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	26	0	300
2006-07-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	30	0	300
2006-08-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	28	0	300
2006-09-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	30	0	300
2006-10-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	43	0	300
2006-11-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	15	0	300
2006-12-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	15	0	300
2007-01-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	14	0	300
2007-03-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	17	2	300
2007-04-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	19	4	300
2007-05-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	22	5	300
2007-06-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	13	3	300
2007-07-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	11	1	300
2007-08-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	23	2	300
2007-09-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	30	2	300
2007-10-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	29	3	300
2007-12-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	34	4	300
2008-01-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	18	2	300
2008-02-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	20	2	300
2008-03-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	25	2	300
2008-04-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	18	1	300
2008-05-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	17	1	300
2008-06-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	15	0	300
2008-07-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	11	1	300
2008-08-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	15	1	300
2008-09-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	20	1	300
2008-10-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	44	0	300
2008-11-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	62	1	300
2008-12-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	22	0	300
2009-01-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	22	0	300
2009-02-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	26	0	300
2009-03-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	29	0	300
2009-04-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	17	0	300
2009-05-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	15	0	300
2009-06-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	13	0	300
2009-07-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	20	0	300
