pathogen_record_id	associated_rodent_record_id	scientificName	assay	tested	positive
44045	35681		IFA	1	0
44046	35682		IFA	1	0
44047	35683		IFA	1	0
44048	35684		IFA	1	1
44049	35685		IFA	1	0
44050	35686		IFA	1	0
44051	35687		IFA	1	0
44052	35688		IFA	1	0
44053	35689		IFA	1	0
44054	35690		IFA	1	0
44055	35691		IFA	1	0
44056	35692		IFA	1	1
44057	35693		IFA	1	1
44058	35694		IFA	1	0
44059	35695		IFA	1	1
44060	35696		IFA	1	1
44061	35697		IFA	1	1
44062	35698		IFA	1	0
44063	35699		IFA	1	0
44064	35700		IFA	1	0
44065	35701		IFA	1	0
44066	35702		IFA	1	0
44067	35703		IFA	1	0
44068	35704		IFA	1	0
44069	35705		IFA	1	0
44070	35706		IFA	1	0
44071	35707		IFA	1	0
44072	35708		IFA	1	0
44073	35709		IFA	1	0
44074	35710		IFA	1	0
44075	35711		IFA	1	1
44076	35712		IFA	1	0
44077	35713		IFA	1	0
44078	35714		IFA	1	1
44079	35715		IFA	1	1
44080	35716		IFA	1	0
44081	35717		IFA	1	0
44082	35718		IFA	1	0
44083	35719		IFA	1	0
44084	35720		IFA	1	0
44085	35721		IFA	1	0
44086	35722		IFA	1	0
44087	35723		IFA	1	0
44088	35724		IFA	1	0
44089	35725		IFA	1	0
44090	35726		IFA	1	0
44091	35727		IFA	1	1
44092	35728		IFA	1	1
44093	35729		IFA	1	0
44094	35730		IFA	1	0
44095	35731		IFA	1	0
44096	35732		IFA	1	0
44097	35733		IFA	1	0
44098	35734		IFA	1	0
44099	35735		IFA	1	1
44100	35736		IFA	1	0
44101	35737		IFA	1	0
44102	35738		IFA	1	0
44103	35739		IFA	1	1
44104	35740		IFA	1	0
44105	35741		IFA	1	0
44106	35742		IFA	1	0
44107	35743		IFA	1	0
44108	35744		IFA	1	0
44109	35745		IFA	1	0
44110	35746		IFA	1	0
44111	35747		IFA	1	0
44112	35748		IFA	1	0
44113	35749		IFA	1	0
44114	35750		IFA	1	0
44115	35751		IFA	1	0
44116	35752		IFA	1	0
44117	35753		IFA	1	0
44118	35754		IFA	1	0
44119	35331		PCR	0	0
44120	35332		PCR	0	0
