year,season,species,site,locality,lat,lon,lt,st,tn,assay,pathogen,tested,positive
2012,summer,Microtus arvalis,Jeeser,1,54.1625,13.2591,8,0,294,ELISA,TULV,8,0
2012,summer,Microtus arvalis,Jeeser,2,54.1625,13.2591,0,0,294,ELISA,TULV,0,0
2012,summer,Microtus arvalis,Jeeser,3,54.1625,13.2591,0,1,294,ELISA,TULV,1,0
2012,autumn,Microtus arvalis,Jeeser,1,54.1625,13.2591,3,0,294,ELISA,TULV,2,1
2012,autumn,Microtus arvalis,Jeeser,2,54.1625,13.2591,0,0,294,ELISA,TULV,0,0
2012,autumn,Microtus arvalis,Jeeser,3,54.1625,13.2591,29,3,294,ELISA,TULV,29,8
2013,spring,Microtus arvalis,Jeeser,1,54.1625,13.2591,0,0,294,ELISA,TULV,0,0
2013,spring,Microtus arvalis,Jeeser,2,54.1625,13.2591,0,0,294,ELISA,TULV,0,0
2013,spring,Microtus arvalis,Jeeser,3,54.1625,13.2591,0,0,294,ELISA,TULV,0,0
2013,summer,Microtus arvalis,Jeeser,1,54.1625,13.2591,3,5,294,ELISA,TULV,2,0
2013,summer,Microtus arvalis,Jeeser,2,54.1625,13.2591,0,0,294,ELISA,TULV,0,0
2013,summer,Microtus arvalis,Jeeser,3,54.1625,13.2591,0,0,294,ELISA,TULV,0,0
2013,autumn,Microtus arvalis,Jeeser,1,54.1625,13.2591,0,0,294,ELISA,TULV,0,0
2013,autumn,Microtus arvalis,Jeeser,2,54.1625,13.2591,1,0,294,ELISA,TULV,1,0
2013,autumn,Microtus arvalis,Jeeser,3,54.1625,13.2591,21,0,294,ELISA,TULV,21,1
2010,spring,Microtus arvalis,Billerbeck,1,51.993,7.316,1,0,294,ELISA,TULV,0,0
2010,spring,Microtus arvalis,Billerbeck,2,51.993,7.316,0,0,294,ELISA,TULV,0,0
2010,spring,Microtus arvalis,Billerbeck,3,51.993,7.316,0,0,294,ELISA,TULV,0,0
2010,summer,Microtus arvalis,Billerbeck,1,51.993,7.316,1,0,294,ELISA,TULV,0,0
2010,summer,Microtus arvalis,Billerbeck,2,51.993,7.316,2,3,294,ELISA,TULV,1,0
2010,summer,Microtus arvalis,Billerbeck,3,51.993,7.316,0,0,294,ELISA,TULV,5,0
2010,autumn,Microtus arvalis,Billerbeck,1,51.993,7.316,17,7,294,ELISA,TULV,2,0
2010,autumn,Microtus arvalis,Billerbeck,2,51.993,7.316,1,0,294,ELISA,TULV,18,2
