virus_clean,family,taxonomic_level,assay_clean,host_species,host_genus,host_family,host_order,n_assayed,n_positive,prop_pos
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Praomys rostratus,Praomys,Muridae,Rodentia,102,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Rattus rattus,Rattus,Muridae,Rodentia,58,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Dasymys rufulus,Dasymys,Muridae,Rodentia,4,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Hylomyscus alleni,Hylomyscus,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Lemniscomys striatus,Lemniscomys,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Lophuromys sikapusi,Lophuromys,Muridae,Rodentia,31,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Malacomys edwardsi,Malacomys,Muridae,Rodentia,6,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Mastomys erythroleucus,Mastomys,Muridae,Rodentia,3,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Mastomys natalensis,Mastomys,Muridae,Rodentia,34,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Praomys rostratus,Praomys,Muridae,Rodentia,48,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Rattus rattus,Rattus,Muridae,Rodentia,42,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Uranomys ruddi,Uranomys,Muridae,Rodentia,2,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Dasymys rufulus,Dasymys,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Hylomyscus alleni,Hylomyscus,Muridae,Rodentia,6,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Lemniscomys striatus,Lemniscomys,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Lophuromys sikapusi,Lophuromys,Muridae,Rodentia,30,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Malacomys edwardsi,Malacomys,Muridae,Rodentia,9,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Mastomys erythroleucus,Mastomys,Muridae,Rodentia,2,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Mastomys natalensis,Mastomys,Muridae,Rodentia,51,3,0.058823529411764705
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Mus minutoides,Mus,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Mus setulosus,Mus,Muridae,Rodentia,11,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Praomys rostratus,Praomys,Muridae,Rodentia,92,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Rattus rattus,Rattus,Muridae,Rodentia,32,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,3,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,3,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,16,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,1,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,12,0,0
