rodent_record_id,study_id,scientificName,eventDate,locality,country,verbatimLocality,coordinate_resolution,decimalLatitude,decimalLongitude,individualCount,trapEffort,trapEffortResolution
21454,86,Rattus rattus,2006-2007,Mayotte,France,Area 1,site,-12.984679999999997,45.18128,1,NA,NA
21455,86,Rattus rattus,2006-2007,Mayotte,France,Area 1,site,-12.984679999999997,45.18128,1,NA,NA
21456,86,Rattus rattus,2006-2007,Mayotte,France,Area 2,site,-12.970110000000005,45.16034,1,NA,NA
21457,86,Rattus rattus,2006-2007,Mayotte,France,Area 4,site,-12.910930000000008,45.1904,1,NA,NA
21458,86,Rattus rattus,2006-2007,Mayotte,France,Area 4,site,-12.910930000000008,45.1904,1,NA,NA
21459,86,Rattus rattus,2006-2007,Mayotte,France,Area 4,site,-12.910930000000008,45.1904,1,NA,NA
21460,86,Rattus rattus,2006-2007,Mayotte,France,Area 5,site,-12.927269999999993,45.177,1,NA,NA
21461,86,Rattus rattus,2006-2007,Mayotte,France,Area 5,site,-12.927269999999993,45.177,1,NA,NA
21462,86,Rattus rattus,2006-2007,Mayotte,France,Area 5,site,-12.927269999999993,45.177,1,NA,NA
21463,86,Rattus rattus,2006-2007,Mayotte,France,Area 5,site,-12.927269999999993,45.177,1,NA,NA
21464,86,Rattus rattus,2006-2007,Mayotte,France,Area 5,site,-12.927269999999993,45.177,1,NA,NA
21465,86,Rattus rattus,2006-2007,Mayotte,France,Area 5,site,-12.927269999999993,45.177,1,NA,NA
21466,86,Rattus rattus,2006-2007,Mayotte,France,Area 5,site,-12.927269999999993,45.177,1,NA,NA
21467,86,Rattus rattus,2006-2007,Mayotte,France,Area 6,site,-12.831189999999992,45.13716,1,NA,NA
21468,86,Rattus rattus,2006-2007,Mayotte,France,Area 6,site,-12.831189999999992,45.13716,1,NA,NA
21469,86,Rattus rattus,2006-2007,Mayotte,France,Area 6,site,-12.831189999999992,45.13716,1,NA,NA
21470,86,Rattus rattus,2006-2007,Mayotte,France,Area 7,site,-12.871640000000014,45.11745,1,NA,NA
21471,86,Rattus rattus,2006-2007,Mayotte,France,Area 8,site,-12.700170000000014,45.12168,1,NA,NA
21472,86,Rattus rattus,2006-2007,Mayotte,France,Area 8,site,-12.700170000000014,45.12168,1,NA,NA
21473,86,Rattus rattus,2006-2007,Mayotte,France,Area 8,site,-12.700170000000014,45.12168,1,NA,NA
21474,86,Rattus rattus,2006-2007,Mayotte,France,Area 8,site,-12.700170000000014,45.12168,1,NA,NA
21475,86,Rattus rattus,2006-2007,Mayotte,France,Area 8,site,-12.700170000000014,45.12168,1,NA,NA
21476,86,Rattus rattus,2006-2007,Mayotte,France,Area 8,site,-12.700170000000014,45.12168,1,NA,NA
21477,86,Rattus rattus,2006-2007,Mayotte,France,Area 9,site,-12.764780000000002,45.10652,1,NA,NA
21478,86,Rattus rattus,2006-2007,Mayotte,France,Area 9,site,-12.764780000000002,45.10652,1,NA,NA
21479,86,Rattus rattus,2006-2007,Mayotte,France,Area 9,site,-12.764780000000002,45.10652,1,NA,NA
21480,86,Rattus rattus,2006-2007,Mayotte,France,Area 9,site,-12.764780000000002,45.10652,1,NA,NA
21481,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21482,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21483,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21484,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21485,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21486,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21487,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21488,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21489,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21490,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21491,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21492,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21493,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21494,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21495,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21496,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21497,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21498,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21499,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21500,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21501,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21502,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21503,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21504,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21505,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21506,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21507,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21508,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21509,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21510,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21511,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21512,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21513,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21514,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21515,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21516,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21517,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21518,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21519,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21520,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21521,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21522,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21523,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21524,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21525,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21526,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21527,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21528,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21529,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21530,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21531,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21532,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21533,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21534,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21535,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21536,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21537,87,Mastomys natalensis,2007-06-05,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21538,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21539,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21540,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21541,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21542,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21543,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21544,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21545,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21546,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21547,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21548,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21549,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21550,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21551,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21552,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21553,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21554,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21555,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21556,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21557,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21558,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21559,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21560,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
