pathogen_record_id,associated_rodent_record_id,study_id,associatedTaxa,family,scientificName,assay,tested,positive,negative,number_inconclusive,note
29655,21462,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29656,21463,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29657,21464,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29658,21465,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29659,21466,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29660,21467,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29661,21468,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29662,21469,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29663,21470,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29664,21471,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29665,21472,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29666,21473,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29667,21474,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29668,21475,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29669,21476,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29670,21477,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29671,21478,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29672,21479,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29673,21480,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29674,21481,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29675,21482,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29676,21483,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29677,21484,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29678,21485,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29679,21486,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29680,21487,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29681,21488,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29682,21489,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29683,21490,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29684,21491,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29685,21492,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29686,21493,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29687,21494,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29688,21495,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29689,21496,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29690,21497,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29691,21498,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29692,21499,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29693,21500,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29694,21501,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29695,21502,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29696,21503,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29697,21504,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29698,21505,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29699,21506,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29700,21507,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29701,21508,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29702,21509,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29703,21510,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29704,21511,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29705,21512,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29706,21513,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29707,21514,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29708,21515,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29709,21516,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29710,21517,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29711,21518,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29712,21519,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29713,21520,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29714,21521,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29715,21522,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29716,21523,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29717,21524,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29718,21525,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29719,21526,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29720,21527,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29721,21528,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29722,21529,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29723,21530,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29724,21531,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29725,21532,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29726,21533,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29727,21534,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29728,21535,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29729,21536,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29730,21537,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29731,21538,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29732,21539,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29733,21540,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29734,21541,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29735,21542,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29736,21543,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29737,21544,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29738,21545,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29739,21546,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29740,21547,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29741,21548,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29742,21549,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29743,21550,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29744,21551,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29745,21552,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29746,21553,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29747,21554,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,neg_uncertain
29748,21555,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29749,21556,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
